Country,Happiness_rank,Happiness_score,GDP_per_capita,Social_support,Life_expectancy,Freedom,Generosity,Corruption,Year,id
Panama,25,6.786,1.0635,1.1985,0.7966,0.5421,0.2443,0.0927,2015,591
Panama,25,6.701,1.1831,0.9891,0.7084,0.4893,0.2418,0.0842,2016,591
Panama,30,6.452,1.2337,1.3732,0.7062,0.55,0.2106,0.071,2017,591
Slovakia,37,6.2806,10.3477,0.9225,68.9063,0.75,-0.1244,0.9181,2020,703
Slovakia,38,6.198,1.246,1.504,0.881,0.334,0.121,0.014,2019,703
Slovakia,39,6.173,1.21,1.537,0.776,0.354,0.118,0.014,2018,703
Slovakia,45,5.995,1.1689,1.27,0.789,0.3175,0.1689,0.0343,2015,703
Slovakia,45,6.078,1.2797,1.0827,0.7037,0.2339,0.1384,0.0295,2016,703
Slovakia,40,6.098,1.3254,1.5051,0.7127,0.2958,0.1365,0.0242,2017,703
Uzbekistan,38,6.2576,8.7404,0.9266,65.1076,0.975,0.2484,0.5015,2020,860
Uzbekistan,41,6.174,0.745,1.529,0.756,0.631,0.322,0.24,2019,860
Uzbekistan,44,6.096,0.719,1.584,0.605,0.724,0.328,0.259,2018,860
Uzbekistan,44,6.003,0.6324,1.3404,0.5977,0.6582,0.2284,0.3083,2015,860
Uzbekistan,49,5.987,0.7359,1.1681,0.5016,0.6085,0.3433,0.2833,2016,860
Uzbekistan,47,5.971,0.7864,1.549,0.4983,0.6582,0.416,0.2465,2017,860
Chile,39,6.2285,10.0321,0.8797,69.9006,0.7449,-0.0657,0.8382,2020,152
Chile,26,6.444,1.159,1.369,0.92,0.357,0.187,0.056,2019,152
Chile,25,6.476,1.131,1.331,0.808,0.431,0.197,0.061,2018,152
Chile,27,6.67,1.1072,1.1245,0.8586,0.4413,0.3336,0.1287,2015,152
Chile,24,6.705,1.2167,0.9059,0.8188,0.3779,0.316,0.1145,2016,152
Chile,20,6.652,1.2528,1.284,0.8195,0.3769,0.3267,0.0823,2017,152
Bahrain,40,6.2273,10.6764,0.8763,68.5,0.9059,0.1337,0.7393,2020,48
Bahrain,37,6.199,1.362,1.368,0.871,0.536,0.255,0.11,2019,48
Bahrain,43,6.105,1.338,1.366,0.698,0.594,0.243,0.123,2018,48
Bahrain,49,5.96,1.3238,1.2162,0.7472,0.4549,0.1736,0.306,2015,48
Bahrain,42,6.218,1.4402,0.944,0.657,0.4738,0.1715,0.2577,2016,48
Bahrain,41,6.087,1.4884,1.3231,0.6531,0.5367,0.1727,0.257,2017,48
Lithuania,41,6.2155,10.3436,0.9261,67.2941,0.7474,-0.2197,0.8096,2020,440
Lithuania,42,6.149,1.238,1.515,0.818,0.291,0.043,0.042,2019,440
Lithuania,50,5.952,1.197,1.527,0.716,0.35,0.026,0.006,2018,440
Lithuania,56,5.833,1.1472,1.2574,0.7313,0.2134,0.0264,0.0103,2015,440
Lithuania,60,5.813,1.2692,1.0641,0.6467,0.1893,0.0202,0.0182,2016,440
Lithuania,52,5.902,1.3146,1.4735,0.6289,0.2342,0.0102,0.0119,2017,440
Trinidad and Tobago,42,6.1919,10.26,0.9153,63.5,0.8579,0.0005,0.9122,2020,780
Trinidad and Tobago,39,6.192,1.231,1.477,0.713,0.489,0.185,0.016,2019,780
Trinidad and Tobago,38,6.192,1.223,1.492,0.564,0.575,0.171,0.019,2018,780
Trinidad and Tobago,41,6.168,1.2118,1.1835,0.6148,0.5588,0.3184,0.0114,2015,780
Trinidad and Tobago,43,6.168,1.3257,0.9857,0.5261,0.4845,0.3194,0.0124,2016,780
Trinidad and Tobago,38,6.168,1.3614,1.3802,0.52,0.5186,0.3253,0.009,2017,780
Poland,43,6.1863,10.2651,0.8743,69.3111,0.8621,-0.2051,0.6869,2020,616
Poland,40,6.182,1.206,1.438,0.884,0.483,0.117,0.05,2019,616
Poland,42,6.123,1.176,1.448,0.781,0.546,0.108,0.064,2018,616
Poland,60,5.791,1.1256,1.2795,0.779,0.5312,0.1676,0.0421,2015,616
Poland,57,5.835,1.2458,1.0468,0.6906,0.4519,0.1444,0.055,2016,616
Poland,46,5.973,1.2918,1.4457,0.6995,0.5203,0.1585,0.0593,2017,616
Colombia,44,6.1634,9.5004,0.8844,67.6996,0.8362,-0.1612,0.8646,2020,170
Colombia,43,6.125,0.985,1.41,0.841,0.47,0.099,0.034,2019,170
Colombia,37,6.26,0.96,1.439,0.635,0.531,0.099,0.039,2018,170
Colombia,33,6.477,0.9186,1.2402,0.6908,0.5347,0.184,0.0512,2015,170
Colombia,31,6.481,1.0303,1.0217,0.5966,0.4474,0.1563,0.054,2016,170
Colombia,36,6.357,1.0706,1.4022,0.595,0.4775,0.149,0.0467,2017,170
Cyprus,45,6.159,10.4057,0.806,73.7022,0.7799,0.0437,0.8563,2020,196
Cyprus,76,5.5355,10.4057,0.8204,73.7022,0.7953,0.0002,0.6261,2020,196
Cyprus,49,6.046,1.263,1.223,1.042,0.406,0.19,0.041,2019,196
Cyprus,64,5.718,1.263,1.252,1.042,0.417,0.191,0.162,2019,196
Cyprus,58,5.835,1.229,1.211,0.909,0.495,0.179,0.154,2018,196
Cyprus,61,5.762,1.229,1.191,0.909,0.423,0.202,0.035,2018,196
Cyprus,66,5.695,1.2081,1.0701,0.9236,0.4903,0.2617,0.1428,2015,196
Cyprus,67,5.689,1.2081,0.8932,0.9236,0.4067,0.3064,0.0615,2015,196
Cyprus,62,5.771,1.3114,0.8183,0.8414,0.436,0.2632,0.1658,2016,196
Cyprus,69,5.546,1.3186,0.707,0.8488,0.2951,0.2791,0.0523,2016,196
Cyprus,61,5.81,1.3469,1.1863,0.8346,0.4712,0.2668,0.1554,2017,196
